Year,Quarter,Total,"Under $150,000","$150,000 to $199,999","Under $200,000","$200,000 to $299,999","$300,000 to $499,999","$500,000 and over","$500,000 to $749,999","$750,000 and over",Region
2016,Q3,83,5,14,NA,27,29,9,NA,NA,South
2016,Q3,19,1,3,NA,7,7,2,NA,NA,Midwest
2016,Q4,7,NA,NA,0,2,3,NA,1,1,Northeast
2016,Q4,32,NA,NA,1,8,15,NA,6,3,West
2016,Q4,70,3,13,NA,23,24,8,NA,NA,South
2016,Q4,15,0,2,NA,5,5,2,NA,NA,Midwest
2017,Q1,9,NA,NA,0,1,3,NA,3,2,Northeast
2017,Q1,42,NA,NA,1,10,21,NA,7,3,West
2017,Q1,87,5,13,NA,30,28,11,NA,NA,South
2017,Q1,18,0,3,NA,7,6,2,NA,NA,Midwest
2017,Q2,12,NA,NA,0,3,3,NA,3,2,Northeast
2017,Q2,46,NA,NA,1,10,24,NA,8,3,West
2017,Q2,93,4,12,NA,35,31,11,NA,NA,South
2017,Q2,20,0,3,NA,7,7,2,NA,NA,Midwest
2017,Q3,10,NA,NA,0,2,4,NA,2,2,Northeast
2017,Q3,35,NA,NA,1,8,18,NA,6,3,West
2017,Q3,79,4,11,NA,26,28,10,NA,NA,South
2017,Q3,18,0,4,NA,6,6,2,NA,NA,Midwest
2017,Q4,9,NA,NA,0,2,2,NA,2,3,Northeast
2017,Q4,40,NA,NA,1,7,20,NA,9,4,West
2017,Q4,80,3,9,NA,28,29,10,NA,NA,South
2017,Q4,16,0,2,NA,6,5,2,NA,NA,Midwest
2018,Q1,9,NA,NA,1,1,4,NA,2,1,Northeast
2018,Q1,47,NA,NA,2,9,24,NA,10,4,West
2018,Q1,92,4,10,NA,33,35,11,NA,NA,South
2018,Q1,19,0,4,NA,6,7,2,NA,NA,Midwest
2018,Q2,11,NA,NA,0,3,3,NA,2,2,Northeast
2018,Q2,44,NA,NA,1,9,20,NA,9,5,West
2018,Q2,100,5,14,NA,36,33,11,NA,NA,South
2018,Q2,24,1,4,NA,8,8,2,NA,NA,Midwest
2018,Q3,7,NA,NA,0,1,2,NA,2,2,Northeast
2018,Q3,38,NA,NA,1,6,21,NA,7,4,West
2018,Q3,81,3,9,NA,30,28,11,NA,NA,South
2018,Q3,19,0,2,NA,8,7,2,NA,NA,Midwest
2018,Q4,6,NA,NA,0,0,2,NA,2,1,Northeast
2018,Q4,30,NA,NA,1,5,16,NA,6,3,West
2018,Q4,75,4,7,NA,29,26,9,NA,NA,South
2018,Q4,14,0,2,NA,5,5,1,NA,NA,Midwest
2019,Q1,7,NA,NA,1,1,3,NA,2,1,Northeast
2019,Q1,49,NA,NA,1,7,27,NA,11,3,West
2019,Q1,100,4,10,NA,45,32,10,NA,NA,South
2019,Q1,18,1,3,NA,7,6,2,NA,NA,Midwest
2019,Q2,8,NA,NA,0,1,3,NA,2,2,Northeast
2019,Q2,50,NA,NA,1,8,26,NA,11,4,West
2019,Q2,108,2,10,NA,44,39,12,NA,NA,South
2019,Q2,20,1,3,NA,8,7,2,NA,NA,Midwest
2019,Q3,8,NA,NA,0,1,3,NA,2,2,Northeast
2019,Q3,41,NA,NA,1,8,20,NA,10,3,West
2019,Q3,102,2,11,NA,42,34,12,NA,NA,South
2019,Q3,17,1,2,NA,7,6,2,NA,NA,Midwest
2019,Q4,7,NA,NA,0,1,3,NA,2,1,Northeast
2019,Q4,42,NA,NA,1,7,20,NA,11,4,West
2019,Q4,89,2,8,NA,37,31,11,NA,NA,South
2019,Q4,16,0,2,NA,7,6,2,NA,NA,Midwest
2020,Q1,8,NA,NA,0,1,3,NA,3,2,Northeast
2020,Q1,53,NA,NA,1,7,30,NA,12,4,West
2020,Q1,99,3,11,NA,42,35,9,NA,NA,South
2020,Q1,20,0,2,NA,8,7,2,NA,NA,Midwest
2020,Q2,10,NA,NA,1,1,4,NA,2,2,Northeast
2020,Q2,50,NA,NA,0,7,28,NA,11,3,West
2020,Q2,113,3,13,NA,44,43,10,NA,NA,South
2020,Q2,23,0,2,NA,11,8,2,NA,NA,Midwest
2020,Q3,11,NA,NA,0,1,6,NA,2,2,Northeast
2020,Q3,63,NA,NA,1,5,38,NA,13,5,West
2020,Q3,143,0,12,NA,62,52,17,NA,NA,South
2020,Q3,27,0,1,NA,11,10,4,NA,NA,Midwest
2020,Q4,8,NA,NA,0,0,4,NA,3,1,Northeast
2020,Q4,52,NA,NA,0,3,32,NA,12,4,West
2020,Q4,119,0,6,NA,43,56,14,NA,NA,South
2020,Q4,23,0,2,NA,9,9,2,NA,NA,Midwest
2021,Q1,11,NA,NA,0,0,5,NA,3,3,Northeast
2021,Q1,55,NA,NA,1,3,27,NA,18,6,West
2021,Q1,136,1,5,NA,49,62,19,NA,NA,South
2021,Q1,27,0,1,NA,10,13,3,NA,NA,Midwest
2021,Q2,10,NA,NA,0,1,3,NA,3,4,Northeast
2021,Q2,49,NA,NA,0,2,24,NA,18,5,West
2021,Q2,113,0,2,NA,33,57,20,NA,NA,South
2021,Q2,28,0,0,NA,11,13,4,NA,NA,Midwest
2021,Q3,8,NA,NA,0,0,4,NA,2,2,Northeast
2021,Q3,45,NA,NA,0,2,19,NA,15,9,West
2021,Q3,107,0,1,NA,30,51,24,NA,NA,South
2021,Q3,16,0,0,NA,5,7,3,NA,NA,Midwest
2021,Q4,7,NA,NA,0,1,2,NA,2,2,Northeast
2021,Q4,47,NA,NA,0,1,19,NA,20,8,West
2021,Q4,98,1,1,NA,19,55,22,NA,NA,South
2021,Q4,15,0,0,NA,4,8,3,NA,NA,Midwest
2022,Q1,11,NA,NA,0,0,4,NA,4,3,Northeast
2022,Q1,55,NA,NA,0,1,17,NA,27,10,West
2022,Q1,120,0,1,NA,20,70,29,NA,NA,South
2022,Q1,23,0,0,NA,4,13,5,NA,NA,Midwest
2022,Q2,7,NA,NA,0,0,2,NA,2,2,Northeast
2022,Q2,39,NA,NA,0,0,12,NA,17,9,West
2022,Q2,98,0,0,NA,13,59,25,NA,NA,South
2022,Q2,19,0,0,NA,3,11,5,NA,NA,Midwest
